code,term
I82452,"Acute embolism and thrombosis of left peroneal vein"
I82459,"Acute embolism and thrombosis of unspecified peroneal vein"
I82461,"Acute embolism and thrombosis of right calf muscular vein"
I82462,"Acute embolism and thrombosis of left calf muscular vein"
I82469,"Acute embolism and thrombosis of unspecified calf muscular vein"
I82491,"Acute embolism and thrombosis of other specified deep vein of right lower extremity"
I82492,"Acute embolism and thrombosis of other specified deep vein of left lower extremity"
I82499,"Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity"
I824Y1,"Acute embolism and thrombosis of unspecified deep veins of right proximal lower extremity"
I824Y2,"Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity"
I824Y9,"Acute embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity"
I824Z1,"Acute embolism and thrombosis of unspecified deep veins of right distal lower extremity"
I824Z2,"Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity"
I824Z9,"Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity"
I82501,"Chronic embolism and thrombosis of unspecified deep veins of right lower extremity"
I82502,"Chronic embolism and thrombosis of unspecified deep veins of left lower extremity"
I82509,"Chronic embolism and thrombosis of unspecified deep veins of unspecified lower extremity"
I82511,"Chronic embolism and thrombosis of right femoral vein"
I82512,"Chronic embolism and thrombosis of left femoral vein"
I82519,"Chronic embolism and thrombosis of unspecified femoral vein"
I82521,"Chronic embolism and thrombosis of right iliac vein"
I82522,"Chronic embolism and thrombosis of left iliac vein"
I82529,"Chronic embolism and thrombosis of unspecified iliac vein"
I82531,"Chronic embolism and thrombosis of right popliteal vein"
I82532,"Chronic embolism and thrombosis of left popliteal vein"
I82539,"Chronic embolism and thrombosis of unspecified popliteal vein"
I82541,"Chronic embolism and thrombosis of right tibial vein"
I82542,"Chronic embolism and thrombosis of left tibial vein"
I82549,"Chronic embolism and thrombosis of unspecified tibial vein"
I82551,"Chronic embolism and thrombosis of right peroneal vein"
I82552,"Chronic embolism and thrombosis of left peroneal vein"
I82559,"Chronic embolism and thrombosis of unspecified peroneal vein"
I82561,"Chronic embolism and thrombosis of right calf muscular vein"
I82562,"Chronic embolism and thrombosis of left calf muscular vein"
I82569,"Chronic embolism and thrombosis of unspecified calf muscular vein"
I82591,"Chronic embolism and thrombosis of other specified deep vein of right lower extremity"
I82592,"Chronic embolism and thrombosis of other specified deep vein of left lower extremity"
I82599,"Chronic embolism and thrombosis of other specified deep vein of unspecified lower extremity"
I825Y1,"Chronic embolism and thrombosis of unspecified deep veins of right proximal lower extremity"
I825Y2,"Chronic embolism and thrombosis of unspecified deep veins of left proximal lower extremity"
I825Y9,"Chronic embolism and thrombosis of unspecified deep veins of unspecified proximal lower extremity"
I825Z1,"Chronic embolism and thrombosis of unspecified deep veins of right distal lower extremity"
I825Z2,"Chronic embolism and thrombosis of unspecified deep veins of left distal lower extremity"
I825Z9,"Chronic embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity"
I82601,"Acute embolism and thrombosis of unspecified veins of right upper extremity"
I82602,"Acute embolism and thrombosis of unspecified veins of left upper extremity"
I82609,"Acute embolism and thrombosis of unspecified veins of unspecified upper extremity"
I82611,"Acute embolism and thrombosis of superficial veins of right upper extremity"
I82612,"Acute embolism and thrombosis of superficial veins of left upper extremity"
I82619,"Acute embolism and thrombosis of superficial veins of unspecified upper extremity"
I82621,"Acute embolism and thrombosis of deep veins of right upper extremity"
I82622,"Acute embolism and thrombosis of deep veins of left upper extremity"
I82629,"Acute embolism and thrombosis of deep veins of unspecified upper extremity"
I82701,"Chronic embolism and thrombosis of unspecified veins of right upper extremity"
I82702,"Chronic embolism and thrombosis of unspecified veins of left upper extremity"
I82709,"Chronic embolism and thrombosis of unspecified veins of unspecified upper extremity"
I82711,"Chronic embolism and thrombosis of superficial veins of right upper extremity"
I82712,"Chronic embolism and thrombosis of superficial veins of left upper extremity"
I82719,"Chronic embolism and thrombosis of superficial veins of unspecified upper extremity"
I82721,"Chronic embolism and thrombosis of deep veins of right upper extremity"
I82722,"Chronic embolism and thrombosis of deep veins of left upper extremity"
I82729,"Chronic embolism and thrombosis of deep veins of unspecified upper extremity"
I82811,"Embolism and thrombosis of superficial veins of right lower extremity"
I82812,"Embolism and thrombosis of superficial veins of left lower extremity"
I82819,"Embolism and thrombosis of superficial veins of unspecified lower extremity"
I82890,"Acute embolism and thrombosis of other specified veins"
I82891,"Chronic embolism and thrombosis of other specified veins"
I8290,"Acute embolism and thrombosis of unspecified vein"
I8291,"Chronic embolism and thrombosis of unspecified vein"
I82A11,"Acute embolism and thrombosis of right axillary vein"
I82A12,"Acute embolism and thrombosis of left axillary vein"
I82A19,"Acute embolism and thrombosis of unspecified axillary vein"
I82A21,"Chronic embolism and thrombosis of right axillary vein"
I82A22,"Chronic embolism and thrombosis of left axillary vein"
I82A29,"Chronic embolism and thrombosis of unspecified axillary vein"
I82B11,"Acute embolism and thrombosis of right subclavian vein"
I82B12,"Acute embolism and thrombosis of left subclavian vein"
I82B19,"Acute embolism and thrombosis of unspecified subclavian vein"
I82B21,"Chronic embolism and thrombosis of right subclavian vein"
I82B22,"Chronic embolism and thrombosis of left subclavian vein"
I82B29,"Chronic embolism and thrombosis of unspecified subclavian vein"
I82C11,"Acute embolism and thrombosis of right internal jugular vein"
I82C12,"Acute embolism and thrombosis of left internal jugular vein"
I82C19,"Acute embolism and thrombosis of unspecified internal jugular vein"
I82C21,"Chronic embolism and thrombosis of right internal jugular vein"
I82C22,"Chronic embolism and thrombosis of left internal jugular vein"
I82C29,"Chronic embolism and thrombosis of unspecified internal jugular vein"
I83001,"Varicose veins of unspecified lower extremity with ulcer of thigh"
I83002,"Varicose veins of unspecified lower extremity with ulcer of calf"
I83003,"Varicose veins of unspecified lower extremity with ulcer of ankle"
I83004,"Varicose veins of unspecified lower extremity with ulcer of heel and midfoot"
I83005,"Varicose veins of unspecified lower extremity with ulcer other part of foot"
I83008,"Varicose veins of unspecified lower extremity with ulcer other part of lower leg"
I83009,"Varicose veins of unspecified lower extremity with ulcer of unspecified site"
I83011,"Varicose veins of right lower extremity with ulcer of thigh"
I83012,"Varicose veins of right lower extremity with ulcer of calf"
I83013,"Varicose veins of right lower extremity with ulcer of ankle"
I83014,"Varicose veins of right lower extremity with ulcer of heel and midfoot"
I83015,"Varicose veins of right lower extremity with ulcer other part of foot"
I83018,"Varicose veins of right lower extremity with ulcer other part of lower leg"
I83019,"Varicose veins of right lower extremity with ulcer of unspecified site"
I83021,"Varicose veins of left lower extremity with ulcer of thigh"
I83022,"Varicose veins of left lower extremity with ulcer of calf"
I83023,"Varicose veins of left lower extremity with ulcer of ankle"
I83024,"Varicose veins of left lower extremity with ulcer of heel and midfoot"
I83025,"Varicose veins of left lower extremity with ulcer other part of foot"
I83028,"Varicose veins of left lower extremity with ulcer other part of lower leg"
I83029,"Varicose veins of left lower extremity with ulcer of unspecified site"
I8310,"Varicose veins of unspecified lower extremity with inflammation"
I8311,"Varicose veins of right lower extremity with inflammation"
I8312,"Varicose veins of left lower extremity with inflammation"
I83201,"Varicose veins of unspecified lower extremity with both ulcer of thigh and inflammation"
I83202,"Varicose veins of unspecified lower extremity with both ulcer of calf and inflammation"
I83203,"Varicose veins of unspecified lower extremity with both ulcer of ankle and inflammation"
I83204,"Varicose veins of unspecified lower extremity with both ulcer of heel and midfoot and inflammation"
I83205,"Varicose veins of unspecified lower extremity with both ulcer other part of foot and inflammation"
I83208,"Varicose veins of unspecified lower extremity with both ulcer of other part of lower extremity and inflammation"
I83209,"Varicose veins of unspecified lower extremity with both ulcer of unspecified site and inflammation"
I83211,"Varicose veins of right lower extremity with both ulcer of thigh and inflammation"
I83212,"Varicose veins of right lower extremity with both ulcer of calf and inflammation"
I83213,"Varicose veins of right lower extremity with both ulcer of ankle and inflammation"
I83214,"Varicose veins of right lower extremity with both ulcer of heel and midfoot and inflammation"
I83215,"Varicose veins of right lower extremity with both ulcer other part of foot and inflammation"
I83218,"Varicose veins of right lower extremity with both ulcer of other part of lower extremity and inflammation"
I83219,"Varicose veins of right lower extremity with both ulcer of unspecified site and inflammation"
I83221,"Varicose veins of left lower extremity with both ulcer of thigh and inflammation"
I83222,"Varicose veins of left lower extremity with both ulcer of calf and inflammation"
I83223,"Varicose veins of left lower extremity with both ulcer of ankle and inflammation"
I83224,"Varicose veins of left lower extremity with both ulcer of heel and midfoot and inflammation"
I83225,"Varicose veins of left lower extremity with both ulcer other part of foot and inflammation"
I83228,"Varicose veins of left lower extremity with both ulcer of other part of lower extremity and inflammation"
I83229,"Varicose veins of left lower extremity with both ulcer of unspecified site and inflammation"
I83811,"Varicose veins of right lower extremity with pain"
I83812,"Varicose veins of left lower extremity with pain"
I83813,"Varicose veins of bilateral lower extremities with pain"
I83819,"Varicose veins of unspecified lower extremity with pain"
I83891,"Varicose veins of right lower extremity with other complications"
I83892,"Varicose veins of left lower extremity with other complications"
I83893,"Varicose veins of bilateral lower extremities with other complications"
I83899,"Varicose veins of unspecified lower extremity with other complications"
I8390,"Asymptomatic varicose veins of unspecified lower extremity"
I8391,"Asymptomatic varicose veins of right lower extremity"
I8392,"Asymptomatic varicose veins of left lower extremity"
I8393,"Asymptomatic varicose veins of bilateral lower extremities"
I8500,"Esophageal varices without bleeding"
I8501,"Esophageal varices with bleeding"
I8510,"Secondary esophageal varices without bleeding"
I8511,"Secondary esophageal varices with bleeding"
I860,"Sublingual varices"
I861,"Scrotal varices"
I862,"Pelvic varices"
I863,"Vulval varices"
I864,"Gastric varices"
I868,"Varicose veins of other specified sites"
I87001,"Postthrombotic syndrome without complications of right lower extremity"
I87002,"Postthrombotic syndrome without complications of left lower extremity"
I87003,"Postthrombotic syndrome without complications of bilateral lower extremity"
I87009,"Postthrombotic syndrome without complications of unspecified extremity"
I87011,"Postthrombotic syndrome with ulcer of right lower extremity"
I87012,"Postthrombotic syndrome with ulcer of left lower extremity"
I87013,"Postthrombotic syndrome with ulcer of bilateral lower extremity"
I87019,"Postthrombotic syndrome with ulcer of unspecified lower extremity"
I87021,"Postthrombotic syndrome with inflammation of right lower extremity"
I87022,"Postthrombotic syndrome with inflammation of left lower extremity"
I87023,"Postthrombotic syndrome with inflammation of bilateral lower extremity"
I87029,"Postthrombotic syndrome with inflammation of unspecified lower extremity"
I87031,"Postthrombotic syndrome with ulcer and inflammation of right lower extremity"
I87032,"Postthrombotic syndrome with ulcer and inflammation of left lower extremity"
I87033,"Postthrombotic syndrome with ulcer and inflammation of bilateral lower extremity"
I87039,"Postthrombotic syndrome with ulcer and inflammation of unspecified lower extremity"
I87091,"Postthrombotic syndrome with other complications of right lower extremity"
I87092,"Postthrombotic syndrome with other complications of left lower extremity"
I87093,"Postthrombotic syndrome with other complications of bilateral lower extremity"
I87099,"Postthrombotic syndrome with other complications of unspecified lower extremity"
I871,"Compression of vein"
I872,"Venous insufficiency (chronic) (peripheral)"
I87301,"Chronic venous hypertension (idiopathic) without complications of right lower extremity"
I87302,"Chronic venous hypertension (idiopathic) without complications of left lower extremity"
I87303,"Chronic venous hypertension (idiopathic) without complications of bilateral lower extremity"
I87309,"Chronic venous hypertension (idiopathic) without complications of unspecified lower extremity"
I87311,"Chronic venous hypertension (idiopathic) with ulcer of right lower extremity"
I87312,"Chronic venous hypertension (idiopathic) with ulcer of left lower extremity"
I87313,"Chronic venous hypertension (idiopathic) with ulcer of bilateral lower extremity"
I87319,"Chronic venous hypertension (idiopathic) with ulcer of unspecified lower extremity"
I87321,"Chronic venous hypertension (idiopathic) with inflammation of right lower extremity"
I87322,"Chronic venous hypertension (idiopathic) with inflammation of left lower extremity"
I87323,"Chronic venous hypertension (idiopathic) with inflammation of bilateral lower extremity"
I87329,"Chronic venous hypertension (idiopathic) with inflammation of unspecified lower extremity"
I87331,"Chronic venous hypertension (idiopathic) with ulcer and inflammation of right lower extremity"
I87332,"Chronic venous hypertension (idiopathic) with ulcer and inflammation of left lower extremity"
I87333,"Chronic venous hypertension (idiopathic) with ulcer and inflammation of bilateral lower extremity"
I87339,"Chronic venous hypertension (idiopathic) with ulcer and inflammation of unspecified lower extremity"
I87391,"Chronic venous hypertension (idiopathic) with other complications of right lower extremity"
I87392,"Chronic venous hypertension (idiopathic) with other complications of left lower extremity"
I87393,"Chronic venous hypertension (idiopathic) with other complications of bilateral lower extremity"
I87399,"Chronic venous hypertension (idiopathic) with other complications of unspecified lower extremity"
I878,"Other specified disorders of veins"
I880,"Nonspecific mesenteric lymphadenitis"
I888,"Other nonspecific lymphadenitis"
I891,"Lymphangitis"
I898,"Other specified noninfective disorders of lymphatic vessels and lymph nodes"
I950,"Idiopathic hypotension"
I951,"Orthostatic hypotension"
I952,"Hypotension due to drugs"
I953,"Hypotension of hemodialysis"
I9581,"Postprocedural hypotension"
I9589,"Other hypotension"
I970,"Postcardiotomy syndrome"
I97110,"Postprocedural cardiac insufficiency following cardiac surgery"
I97111,"Postprocedural cardiac insufficiency following other surgery"
I97120,"Postprocedural cardiac arrest following cardiac surgery"
I97121,"Postprocedural cardiac arrest following other surgery"
I97130,"Postprocedural heart failure following cardiac surgery"
I97131,"Postprocedural heart failure following other surgery"
I97190,"Other postprocedural cardiac functional disturbances following cardiac surgery"
I97191,"Other postprocedural cardiac functional disturbances following other surgery"
I972,"Postmastectomy lymphedema syndrome"
I973,"Postprocedural hypertension"
I97410,"Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac catheterization"
I97411,"Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac bypass"
I97418,"Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other circulatory system procedure"
I9742,"Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other procedure"
I9751,"Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure"
I9752,"Accidental puncture and laceration of a circulatory system organ or structure during other procedure"
I97610,"Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization"
I97611,"Postprocedural hemorrhage of a circulatory system organ or structure following cardiac bypass"
I97618,"Postprocedural hemorrhage of a circulatory system organ or structure following other circulatory system procedure"
I97620,"Postprocedural hemorrhage of a circulatory system organ or structure following other procedure"
I97621,"Postprocedural hematoma of a circulatory system organ or structure following other procedure"
I97622,"Postprocedural seroma of a circulatory system organ or structure following other procedure"
I97630,"Postprocedural hematoma of a circulatory system organ or structure following a cardiac catheterization"
I97631,"Postprocedural hematoma of a circulatory system organ or structure following cardiac bypass"
I97638,"Postprocedural hematoma of a circulatory system organ or structure following other circulatory system procedure"
I97640,"Postprocedural seroma of a circulatory system organ or structure following a cardiac catheterization"
I97641,"Postprocedural seroma of a circulatory system organ or structure following cardiac bypass"
I97648,"Postprocedural seroma of a circulatory system organ or structure following other circulatory system procedure"
I97710,"Intraoperative cardiac arrest during cardiac surgery"
I97711,"Intraoperative cardiac arrest during other surgery"
I97790,"Other intraoperative cardiac functional disturbances during cardiac surgery"
I97791,"Other intraoperative cardiac functional disturbances during other surgery"
I97810,"Intraoperative cerebrovascular infarction during cardiac surgery"
I97811,"Intraoperative cerebrovascular infarction during other surgery"
I97820,"Postprocedural cerebrovascular infarction following cardiac surgery"
I97821,"Postprocedural cerebrovascular infarction following other surgery"
I998,"Other disorder of circulatory system"
I999,"Unspecified disorder of circulatory system"
J00,"Acute nasopharyngitis [common cold]"
J0101,"Acute recurrent maxillary sinusitis"
J0111,"Acute recurrent frontal sinusitis"
J0121,"Acute recurrent ethmoidal sinusitis"
J0131,"Acute recurrent sphenoidal sinusitis"
J0141,"Acute recurrent pansinusitis"
J0180,"Other acute sinusitis"
J0181,"Other acute recurrent sinusitis"
J020,"Streptococcal pharyngitis"
J028,"Acute pharyngitis due to other specified organisms"
J0301,"Acute recurrent streptococcal tonsillitis"
J0380,"Acute tonsillitis due to other specified organisms"
J0381,"Acute recurrent tonsillitis due to other specified organisms"
J040,"Acute laryngitis"
J0410,"Acute tracheitis without obstruction"
J0411,"Acute tracheitis with obstruction"
J042,"Acute laryngotracheitis"
J050,"Acute obstructive laryngitis [croup]"
J0510,"Acute epiglottitis without obstruction"
J0511,"Acute epiglottitis with obstruction"
J060,"Acute laryngopharyngitis"
J09X1,"Influenza due to identified novel influenza A virus with pneumonia"
J09X2,"Influenza due to identified novel influenza A virus with other respiratory manifestations"
J09X3,"Influenza due to identified novel influenza A virus with gastrointestinal manifestations"
J09X9,"Influenza due to identified novel influenza A virus with other manifestations"
J1000,"Influenza due to other identified influenza virus with unspecified type of pneumonia"
J1001,"Influenza due to other identified influenza virus with the same other identified influenza virus pneumonia"
J1008,"Influenza due to other identified influenza virus with other specified pneumonia"
J101,"Influenza due to other identified influenza virus with other respiratory manifestations"
J102,"Influenza due to other identified influenza virus with gastrointestinal manifestations"
J1081,"Influenza due to other identified influenza virus with encephalopathy"
J1082,"Influenza due to other identified influenza virus with myocarditis"
J1083,"Influenza due to other identified influenza virus with otitis media"
J1089,"Influenza due to other identified influenza virus with other manifestations"
J1100,"Influenza due to unidentified influenza virus with unspecified type of pneumonia"
J1108,"Influenza due to unidentified influenza virus with specified pneumonia"
J111,"Influenza due to unidentified influenza virus with other respiratory manifestations"
J112,"Influenza due to unidentified influenza virus with gastrointestinal manifestations"
J1181,"Influenza due to unidentified influenza virus with encephalopathy"
J1182,"Influenza due to unidentified influenza virus with myocarditis"
J1183,"Influenza due to unidentified influenza virus with otitis media"
J1189,"Influenza due to unidentified influenza virus with other manifestations"
J120,"Adenoviral pneumonia"
J121,"Respiratory syncytial virus pneumonia"
J122,"Parainfluenza virus pneumonia"
J123,"Human metapneumovirus pneumonia"
J1281,"Pneumonia due to SARS-associated coronavirus"
J1282,"Pneumonia due to coronavirus disease 2019"
J1289,"Other viral pneumonia"
J13,"Pneumonia due to Streptococcus pneumoniae"
J14,"Pneumonia due to Hemophilus influenzae"
J150,"Pneumonia due to Klebsiella pneumoniae"
J151,"Pneumonia due to Pseudomonas"
J15211,"Pneumonia due to Methicillin susceptible Staphylococcus aureus"
J15212,"Pneumonia due to Methicillin resistant Staphylococcus aureus"
J1529,"Pneumonia due to other staphylococcus"
J154,"Pneumonia due to other streptococci"
J155,"Pneumonia due to Escherichia coli"
J1561,"Pneumonia due to Acinetobacter baumannii"
J1569,"Pneumonia due to other Gram-negative bacteria"
J157,"Pneumonia due to Mycoplasma pneumoniae"
J158,"Pneumonia due to other specified bacteria"
J159,"Unspecified bacterial pneumonia"
J160,"Chlamydial pneumonia"
J168,"Pneumonia due to other specified infectious organisms"
J17,"Pneumonia in diseases classified elsewhere"
J200,"Acute bronchitis due to Mycoplasma pneumoniae"
J201,"Acute bronchitis due to Hemophilus influenzae"
J202,"Acute bronchitis due to streptococcus"
J203,"Acute bronchitis due to coxsackievirus"
J204,"Acute bronchitis due to parainfluenza virus"
J205,"Acute bronchitis due to respiratory syncytial virus"
J206,"Acute bronchitis due to rhinovirus"
J207,"Acute bronchitis due to echovirus"
J208,"Acute bronchitis due to other specified organisms"
J210,"Acute bronchiolitis due to respiratory syncytial virus"
J211,"Acute bronchiolitis due to human metapneumovirus"
J218,"Acute bronchiolitis due to other specified organisms"
J22,"Unspecified acute lower respiratory infection"
J300,"Vasomotor rhinitis"
J301,"Allergic rhinitis due to pollen"
J302,"Other seasonal allergic rhinitis"
J305,"Allergic rhinitis due to food"
J3081,"Allergic rhinitis due to animal (cat) (dog) hair and dander"
J3089,"Other allergic rhinitis"
J310,"Chronic rhinitis"
J311,"Chronic nasopharyngitis"
J312,"Chronic pharyngitis"
J320,"Chronic maxillary sinusitis"
J321,"Chronic frontal sinusitis"
J322,"Chronic ethmoidal sinusitis"
J323,"Chronic sphenoidal sinusitis"
J324,"Chronic pansinusitis"
J328,"Other chronic sinusitis"
J330,"Polyp of nasal cavity"
J331,"Polypoid sinus degeneration"
J338,"Other polyp of sinus"
J341,"Cyst and mucocele of nose and nasal sinus"
J342,"Deviated nasal septum"
J343,"Hypertrophy of nasal turbinates"
J3481,"Nasal mucositis (ulcerative)"
J3489,"Other specified disorders of nose and nasal sinuses"
J349,"Unspecified disorder of nose and nasal sinuses"
J3501,"Chronic tonsillitis"
J3502,"Chronic adenoiditis"
J3503,"Chronic tonsillitis and adenoiditis"
J351,"Hypertrophy of tonsils"
J352,"Hypertrophy of adenoids"
J353,"Hypertrophy of tonsils with hypertrophy of adenoids"
J358,"Other chronic diseases of tonsils and adenoids"
J36,"Peritonsillar abscess"
J370,"Chronic laryngitis"
J371,"Chronic laryngotracheitis"
J381,"Polyp of vocal cord and larynx"
J382,"Nodules of vocal cords"
J383,"Other diseases of vocal cords"
J384,"Edema of larynx"
J385,"Laryngeal spasm"
J386,"Stenosis of larynx"
J387,"Other diseases of larynx"
J390,"Retropharyngeal and parapharyngeal abscess"
J391,"Other abscess of pharynx"
J392,"Other diseases of pharynx"
J398,"Other specified diseases of upper respiratory tract"
J410,"Simple chronic bronchitis"
J411,"Mucopurulent chronic bronchitis"
J418,"Mixed simple and mucopurulent chronic bronchitis"
J42,"Unspecified chronic bronchitis"
J430,"Unilateral pulmonary emphysema [MacLeod's syndrome]"
J431,"Panlobular emphysema"
J432,"Centrilobular emphysema"
J438,"Other emphysema"
J440,"Chronic obstructive pulmonary disease with (acute) lower respiratory infection"
J441,"Chronic obstructive pulmonary disease with (acute) exacerbation"
J4481,"Bronchiolitis obliterans and bronchiolitis obliterans syndrome"
J4489,"Other specified chronic obstructive pulmonary disease"
J4521,"Mild intermittent asthma with (acute) exacerbation"
J4522,"Mild intermittent asthma with status asthmaticus"
J4531,"Mild persistent asthma with (acute) exacerbation"
J4532,"Mild persistent asthma with status asthmaticus"
J4541,"Moderate persistent asthma with (acute) exacerbation"
J4542,"Moderate persistent asthma with status asthmaticus"
J4551,"Severe persistent asthma with (acute) exacerbation"
J4552,"Severe persistent asthma with status asthmaticus"
J45901,"Unspecified asthma with (acute) exacerbation"
J45902,"Unspecified asthma with status asthmaticus"
J45990,"Exercise induced bronchospasm"
J45991,"Cough variant asthma"
J45998,"Other asthma"
J470,"Bronchiectasis with acute lower respiratory infection"
J471,"Bronchiectasis with (acute) exacerbation"
J4A0,"Restrictive allograft syndrome"
J4A8,"Other chronic lung allograft dysfunction"
J60,"Coalworker's pneumoconiosis"
J61,"Pneumoconiosis due to asbestos and other mineral fibers"
J620,"Pneumoconiosis due to talc dust"
J628,"Pneumoconiosis due to other dust containing silica"
J630,"Aluminosis (of lung)"
J631,"Bauxite fibrosis (of lung)"
J632,"Berylliosis"
J633,"Graphite fibrosis (of lung)"
J634,"Siderosis"
J635,"Stannosis"
J636,"Pneumoconiosis due to other specified inorganic dusts"
J64,"Unspecified pneumoconiosis"
J65,"Pneumoconiosis associated with tuberculosis"
J660,"Byssinosis"
J661,"Flax-dressers' disease"
J662,"Cannabinosis"
J668,"Airway disease due to other specific organic dusts"
J670,"Farmer's lung"
J671,"Bagassosis"
J672,"Bird fancier's lung"
J673,"Suberosis"
J674,"Maltworker's lung"
J675,"Mushroom-worker's lung"
J676,"Maple-bark-stripper's lung"
J677,"Air conditioner and humidifier lung"
J678,"Hypersensitivity pneumonitis due to other organic dusts"
J679,"Hypersensitivity pneumonitis due to unspecified organic dust"
J690,"Pneumonitis due to inhalation of food and vomit"
J691,"Pneumonitis due to inhalation of oils and essences"
J698,"Pneumonitis due to inhalation of other solids and liquids"
J700,"Acute pulmonary manifestations due to radiation"
J701,"Chronic and other pulmonary manifestations due to radiation"
J702,"Acute drug-induced interstitial lung disorders"
J703,"Chronic drug-induced interstitial lung disorders"
J705,"Respiratory conditions due to smoke inhalation"
J708,"Respiratory conditions due to other specified external agents"
J709,"Respiratory conditions due to unspecified external agent"
J80,"Acute respiratory distress syndrome"
J810,"Acute pulmonary edema"
J811,"Chronic pulmonary edema"
J8281,"Chronic eosinophilic pneumonia"
J8282,"Acute eosinophilic pneumonia"
J8283,"Eosinophilic asthma"
J8401,"Alveolar proteinosis"
J8402,"Pulmonary alveolar microlithiasis"
J8403,"Idiopathic pulmonary hemosiderosis"
J8409,"Other alveolar and parieto-alveolar conditions"
J84112,"Idiopathic pulmonary fibrosis"
J84113,"Idiopathic non-specific interstitial pneumonitis"
J84114,"Acute interstitial pneumonitis"
J84115,"Respiratory bronchiolitis interstitial lung disease"
J84116,"Cryptogenic organizing pneumonia"
J84117,"Desquamative interstitial pneumonia"
J84170,"Interstitial lung disease with progressive fibrotic phenotype in diseases classified elsewhere"
J84178,"Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere"
J842,"Lymphoid interstitial pneumonia"
J8481,"Lymphangioleiomyomatosis"
J8482,"Adult pulmonary Langerhans cell histiocytosis"
J8483,"Surfactant mutations of the lung"
J84841,"Neuroendocrine cell hyperplasia of infancy"
J84842,"Pulmonary interstitial glycogenosis"
J84843,"Alveolar capillary dysplasia with vein misalignment"
J84848,"Other interstitial lung diseases of childhood"
J8489,"Other specified interstitial pulmonary diseases"
J850,"Gangrene and necrosis of lung"
J851,"Abscess of lung with pneumonia"
J852,"Abscess of lung without pneumonia"
J853,"Abscess of mediastinum"
J860,"Pyothorax with fistula"
J869,"Pyothorax without fistula"
J910,"Malignant pleural effusion"
J918,"Pleural effusion in other conditions classified elsewhere"
J920,"Pleural plaque with presence of asbestos"
J929,"Pleural plaque without asbestos"
J930,"Spontaneous tension pneumothorax"
J9311,"Primary spontaneous pneumothorax"
J9312,"Secondary spontaneous pneumothorax"
J9381,"Chronic pneumothorax"
J9382,"Other air leak"
J9383,"Other pneumothorax"
J940,"Chylous effusion"
J941,"Fibrothorax"
J942,"Hemothorax"
J948,"Other specified pleural conditions"
J9500,"Unspecified tracheostomy complication"
J9501,"Hemorrhage from tracheostomy stoma"
J9502,"Infection of tracheostomy stoma"
J9503,"Malfunction of tracheostomy stoma"
J9504,"Tracheo-esophageal fistula following tracheostomy"
J9509,"Other tracheostomy complication"
J951,"Acute pulmonary insufficiency following thoracic surgery"
J952,"Acute pulmonary insufficiency following nonthoracic surgery"
J953,"Chronic pulmonary insufficiency following surgery"
J954,"Chemical pneumonitis due to anesthesia"
J955,"Postprocedural subglottic stenosis"
J9561,"Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating a respiratory system procedure"
J9562,"Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating other procedure"
J9571,"Accidental puncture and laceration of a respiratory system organ or structure during a respiratory system procedure"
J9572,"Accidental puncture and laceration of a respiratory system organ or structure during other procedure"
J95811,"Postprocedural pneumothorax"
J95812,"Postprocedural air leak"
J95821,"Acute postprocedural respiratory failure"
J95822,"Acute and chronic postprocedural respiratory failure"
J95830,"Postprocedural hemorrhage of a respiratory system organ or structure following a respiratory system procedure"
J95831,"Postprocedural hemorrhage of a respiratory system organ or structure following other procedure"
J9584,"Transfusion-related acute lung injury (TRALI)"
J95850,"Mechanical complication of respirator"
J95851,"Ventilator associated pneumonia"
J95859,"Other complication of respirator [ventilator]"
J95860,"Postprocedural hematoma of a respiratory system organ or structure following a respiratory system procedure"
J95861,"Postprocedural hematoma of a respiratory system organ or structure following other procedure"
J95862,"Postprocedural seroma of a respiratory system organ or structure following a respiratory system procedure"
J95863,"Postprocedural seroma of a respiratory system organ or structure following other procedure"
J9587,"Transfusion-associated dyspnea (TAD)"
J9601,"Acute respiratory failure with hypoxia"
J9602,"Acute respiratory failure with hypercapnia"
J9611,"Chronic respiratory failure with hypoxia"
J9612,"Chronic respiratory failure with hypercapnia"
J9621,"Acute and chronic respiratory failure with hypoxia"
J9622,"Acute and chronic respiratory failure with hypercapnia"
J9801,"Acute bronchospasm"
J9811,"Atelectasis"
J9819,"Other pulmonary collapse"
J982,"Interstitial emphysema"
J983,"Compensatory emphysema"
J984,"Other disorders of lung"
J9851,"Mediastinitis"
J986,"Disorders of diaphragm"
